repeat,accuracy,balanced_accuracy,precision,recall,f1,n_train,n_test
654,1.0,1.0,1.0,1.0,1.0,20,4
655,0.5,0.5,0.5,0.5,0.5,20,4
656,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
657,0.5,0.5,0.5,0.5,0.5,20,4
658,1.0,1.0,1.0,1.0,1.0,20,4
659,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
660,1.0,1.0,1.0,1.0,1.0,20,4
661,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
662,1.0,1.0,1.0,1.0,1.0,20,4
663,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
664,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
665,1.0,1.0,1.0,1.0,1.0,20,4
666,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
667,1.0,1.0,1.0,1.0,1.0,20,4
668,0.5,0.5,0.5,0.5,0.5,20,4
669,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
670,1.0,1.0,1.0,1.0,1.0,20,4
671,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
672,1.0,1.0,1.0,1.0,1.0,20,4
673,1.0,1.0,1.0,1.0,1.0,20,4
674,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
675,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
676,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
677,1.0,1.0,1.0,1.0,1.0,20,4
678,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
679,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
680,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
681,1.0,1.0,1.0,1.0,1.0,20,4
682,1.0,1.0,1.0,1.0,1.0,20,4
683,1.0,1.0,1.0,1.0,1.0,20,4
684,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
685,1.0,1.0,1.0,1.0,1.0,20,4
686,1.0,1.0,1.0,1.0,1.0,20,4
687,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
688,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
689,1.0,1.0,1.0,1.0,1.0,20,4
690,0.5,0.5,0.5,0.5,0.5,20,4
691,1.0,1.0,1.0,1.0,1.0,20,4
692,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
693,0.5,0.5,0.5,0.5,0.5,20,4
694,1.0,1.0,1.0,1.0,1.0,20,4
695,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
696,1.0,1.0,1.0,1.0,1.0,20,4
697,1.0,1.0,1.0,1.0,1.0,20,4
698,1.0,1.0,1.0,1.0,1.0,20,4
